,Text,target
0,polis tangkap,NonCyberbully
1,kenapa lokasi kebakaran terlalu spesifik,NonCyberbully
2,menyesal for birthday,NonCyberbully
3,meriah tah,NonCyberbully
4,asal bs kelar kerja jam sik kl baru diajak meeting jam kelar jam mah bye,NonCyberbully
5,hmmm minta dorang pasang pencawang phone sekali asyik emergency call,NonCyberbully
6,tinggal barang uninstall shopee,NonCyberbully
7,juta,NonCyberbully
8,assalamualaikum yb are you coming down to parit yusof my grandparents kat rasanya daftar vaksin they dont have smartphones please help,NonCyberbully
9,terengganu tumbang,NonCyberbully
10,capek,NonCyberbully
11,kau pancitkan kereta kenapa kau xtegur senior tagcall da lol pukik,Cyberbully
12,pande tetak indah maca duak menyuweet bepantun comment duak sikda ws kah mun sikda ws pake ws lok kedong sik make,Cyberbully
13,patutlah jodoh lambat ah lantak,Cyberbully
14,cultural appropriation tuhan kasi konek negro,NonCyberbully
15,suruh tangkap gambar tengok dulu belah laaa adeiiii,NonCyberbully
16,dahlah interface hauk content limited cruella bengang,NonCyberbully
17,rehat bangun is better i think,NonCyberbully
18,macam lumrah hidup survive kena kerja fuhh weekend hari siak cutinya,NonCyberbully
19,penat kepala otak,NonCyberbully
20,fak tiru,NonCyberbully
21,solidariti penghasut,NonCyberbully
22,masa kes kematian dorang berpuluh ribu sehari kes active baru seratus dua dorang payah,NonCyberbully
23,li isnt relevan,NonCyberbully
24,tunggang bang minyak murah katanya golongan kayangan nie murah murah cukai mahai ha,NonCyberbully
25,kata vellfire kep tetamu sada kenderaan milik sada kenapa plate tulis menteri besar kedah masalah ayaq kat kedah selesai mb bermewah kenderaan baru,NonCyberbully
26,laptop pulak alahai berat macam lori baling koma bang jamal,Cyberbully
27,confim flop masuk epl x yah,NonCyberbully
28,geram ek baca komen kt page malaysia embassy kt sgp kerajaan da bantu bahagi extension tahun nk komplen lg defakkk,Cyberbully
29,move on malas nk fikir panjang,NonCyberbully
30,betul kak asal kelantan bising macam negeri terpaling suci buat dosa,Cyberbully
31,lgbt kena perang,NonCyberbully
